ispb,nome,nome_reduzido,modalidade_participacao,tipo_participacao,inicio_operacao,data_carga
41697103,CC CREDILIVRE LTDA. - SICOOB CREDILIVRE,CC CREDILIVRE LTDA. - SICOOB CREDILIVRE,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
64480833,CC CREDIMAC LTDA - SICOOB CREDIMAC,CC CREDIMAC LTDA - SICOOB CREDIMAC,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
01152097,CC CREDIMATA,CC CREDIMATA,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
66788142,CC CREDIMOTA,CC CREDIMOTA,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
25420696,CC CREDINACIONAL LTDA - SICOOB CREDINACIONAL,CC CREDINACIONAL LTDA - SICOOB CREDINACIONAL,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
21866694,CC CREDINOR,CC CREDINOR,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
64276058,CC CREDINORTE - SICOOB CREDINORTE,CC CREDINORTE - SICOOB CREDINORTE,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
06324872,CC CREDINOSSO,CC CREDINOSSO,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
24048910,CC CREDINTER,CC CREDINTER,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
42934794,CC CREDIPIMENTA,CC CREDIPIMENTA,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
03412878,CC CREDIRAMA,CC CREDIRAMA,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
22753982,CC CREDISETE LTDA,CC CREDISETE LTDA,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
03645752,CC CREDISG,CC CREDISG,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
42887133,CC CREDISUCESSO LTDA. - SICOOB CREDISUCESSO,CC CREDISUCESSO LTDA. - SICOOB CREDISUCESSO,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
22656789,CC CREDISUDESTE LTDA,CC CREDISUDESTE LTDA,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
